DateTime,Open,High,Low,Close,EMA21,EMA75,EMA150,StochD
2026-06-16 09:00:00,30940.00,30952.75,30815.75,30826.25,30797.38,30327.63,30141.46,53.02
2026-06-16 10:00:00,30826.00,30889.00,30750.75,30806.50,30798.21,30340.23,30150.27,52.60
2026-06-16 11:00:00,30808.00,30858.50,30562.50,30602.75,30780.44,30347.14,30156.26,50.89
2026-06-16 12:00:00,30601.00,30665.25,30407.75,30467.25,30751.97,30350.30,30160.38,49.52
2026-06-16 13:00:00,30466.25,30575.00,30444.00,30496.50,30728.75,30354.15,30164.83,48.74
2026-06-16 14:00:00,30495.50,30521.00,30401.75,30477.25,30705.88,30357.39,30168.97,47.10
2026-06-16 15:00:00,30477.25,30496.50,30422.00,30443.00,30681.98,30359.64,30172.60,45.25
2026-06-16 16:00:00,30443.25,30480.75,30302.25,30310.00,30648.17,30358.34,30174.42,42.90
2026-06-16 17:00:00,30309.75,30330.50,30272.25,30300.50,30616.56,30356.81,30176.09,40.35
2026-06-16 19:00:00,30306.50,30389.25,30306.50,30378.00,30594.87,30357.37,30178.76,37.62
2026-06-16 20:00:00,30378.75,30380.00,30307.00,30329.00,30570.70,30356.62,30180.75,34.62
2026-06-16 21:00:00,30330.50,30402.75,30330.50,30383.75,30553.71,30357.34,30183.44,33.69
2026-06-16 22:00:00,30384.00,30449.75,30368.25,30446.25,30543.94,30359.68,30186.92,33.72
2026-06-16 23:00:00,30447.25,30463.00,30432.50,30440.25,30534.51,30361.80,30190.28,35.04
2026-06-17 00:00:00,30441.00,30469.75,30416.75,30466.75,30528.35,30364.56,30193.94,37.69
2026-06-17 01:00:00,30465.75,30487.25,30447.00,30486.75,30524.57,30367.78,30197.82,41.95
2026-06-17 02:00:00,30485.75,30526.50,30480.25,30500.25,30522.36,30371.26,30201.82,47.45
2026-06-17 03:00:00,30501.25,30545.75,30484.50,30544.50,30524.37,30375.82,30206.36,52.84
2026-06-17 04:00:00,30544.50,30579.75,30538.50,30559.25,30527.54,30380.65,30211.04,57.89
2026-06-17 05:00:00,30560.50,30584.50,30464.50,30509.75,30525.93,30384.05,30214.99,61.58
2026-06-17 06:00:00,30510.75,30526.50,30448.00,30463.00,30520.21,30386.12,30218.28,62.91
2026-06-17 07:00:00,30462.75,30499.25,30418.50,30459.75,30514.71,30388.06,30221.48,63.33
2026-06-17 08:00:00,30458.75,30492.25,30387.75,30416.00,30505.74,30388.80,30224.05,63.72
2026-06-17 09:00:00,30416.75,30521.00,30415.50,30491.25,30504.42,30391.49,30227.59,65.05
2026-06-17 10:00:00,30491.25,30542.25,30346.00,30347.75,30490.18,30390.34,30229.18,64.74
2026-06-17 11:00:00,30346.00,30545.75,30284.75,30359.25,30478.27,30389.52,30230.91,63.02
2026-06-17 12:00:00,30357.50,30458.50,30346.00,30450.00,30475.70,30391.11,30233.81,59.84
2026-06-17 13:00:00,30450.00,30472.25,30396.25,30410.25,30469.75,30391.62,30236.15,56.97
2026-06-17 14:00:00,30408.25,30484.75,30326.50,30466.75,30469.48,30393.59,30239.20,55.12
2026-06-17 15:00:00,30465.50,30520.00,30070.25,30274.75,30451.78,30390.47,30239.67,52.82
2026-06-17 16:00:00,30274.50,30370.00,29923.00,29994.75,30410.23,30380.05,30236.43,49.81
2026-06-17 17:00:00,29995.00,30159.50,29993.00,30141.75,30385.82,30373.78,30235.17,45.52
2026-06-17 19:00:00,30142.50,30259.00,30096.00,30236.50,30372.25,30370.17,30235.19,42.30
2026-06-17 20:00:00,30236.25,30312.25,30225.00,30312.25,30366.79,30368.65,30236.21,42.08
2026-06-17 21:00:00,30313.50,30432.25,30306.50,30368.25,30366.93,30368.64,30237.96,45.01
2026-06-17 22:00:00,30367.75,30438.25,30363.25,30380.00,30368.11,30368.93,30239.84,49.30
2026-06-17 23:00:00,30382.50,30430.75,30373.50,30400.25,30371.04,30369.76,30241.97,53.31
2026-06-18 00:00:00,30401.50,30419.75,30370.00,30399.00,30373.58,30370.53,30244.05,54.95
2026-06-18 01:00:00,30400.50,30405.50,30284.00,30342.00,30370.71,30369.78,30245.34,56.36
2026-06-18 02:00:00,30341.00,30378.25,30325.00,30354.00,30369.19,30369.36,30246.78,57.12
2026-06-18 03:00:00,30353.75,30434.50,30320.00,30419.50,30373.76,30370.68,30249.07,59.22
2026-06-18 04:00:00,30419.50,30447.25,30382.50,30444.50,30380.19,30372.62,30251.66,61.59
2026-06-18 05:00:00,30445.25,30500.00,30387.00,30396.25,30381.65,30373.25,30253.57,62.31
2026-06-18 06:00:00,30397.50,30495.00,30387.50,30488.50,30391.37,30376.28,30256.69,63.46
2026-06-18 07:00:00,30490.25,30494.75,30421.00,30434.75,30395.31,30377.82,30259.04,64.14
2026-06-18 08:00:00,30435.75,30457.00,30355.00,30423.50,30397.87,30379.02,30261.22,66.22
2026-06-18 09:00:00,30423.75,30538.00,30397.00,30514.75,30408.50,30382.59,30264.58,67.64
2026-06-18 10:00:00,30514.00,30619.75,30391.00,30468.75,30413.98,30384.86,30267.28,66.98
2026-06-18 11:00:00,30469.25,30660.75,30449.50,30623.50,30433.02,30391.14,30272.00,66.16
2026-06-18 12:00:00,30623.75,30675.75,30496.25,30640.75,30451.91,30397.71,30276.89,65.28
2026-06-18 13:00:00,30641.00,30707.75,30628.75,30684.75,30473.07,30405.26,30282.29,66.24
2026-06-18 14:00:00,30685.50,30736.75,30656.25,30708.50,30494.48,30413.24,30287.93,68.04
2026-06-18 15:00:00,30708.75,30718.75,30666.00,30690.75,30512.32,30420.54,30293.27,69.90
2026-06-18 16:00:00,30690.75,30783.25,30645.25,30699.00,30529.29,30427.87,30298.64,71.00
2026-06-18 17:00:00,30698.50,30748.00,30683.00,30726.50,30547.22,30435.73,30304.31,70.38
2026-06-18 19:00:00,30740.00,30770.75,30650.00,30662.75,30557.72,30441.70,30309.06,67.31
2026-06-18 20:00:00,30661.25,30703.25,30656.75,30692.50,30569.97,30448.30,30314.14,64.37
2026-06-18 21:00:00,30690.00,30694.25,30628.00,30642.75,30576.59,30453.42,30318.49,60.27
2026-06-18 22:00:00,30644.00,30664.75,30592.00,30594.50,30578.22,30457.13,30322.14,57.24
2026-06-18 23:00:00,30594.25,30619.50,30575.00,30593.75,30579.63,30460.73,30325.74,53.60
2026-06-19 00:00:00,30593.00,30606.50,30505.50,30518.50,30574.07,30462.25,30328.29,49.97
2026-06-19 01:00:00,30520.25,30526.25,30405.00,30433.75,30561.32,30461.50,30329.69,46.59
2026-06-19 02:00:00,30435.00,30483.50,30388.00,30481.00,30554.02,30462.01,30331.70,42.97
